slug,name,ascii_name,province,province_name,latitude,longitude,population,feature_class,feature_code
sainte-catherine-de-la-jacques-cartier-qc,Sainte Catherine de la Jacques Cartier,Sainte Catherine de la Jacques Cartier,QC,Quebec,46.85244,-71.62056,5021,P,PPL
lakeburn-nb,Lakeburn,Lakeburn,NB,New Brunswick,46.10014,-64.68205,5014,P,PPL
saint-joseph-de-beauce-qc,Saint-Joseph-de-Beauce,Saint-Joseph-de-Beauce,QC,Quebec,46.3,-70.86667,5014,P,PPL
peachland-bc,Peachland,Peachland,BC,British Columbia,49.76862,-119.74633,5006,P,PPL
kingscourt-on,Kingscourt,Kingscourt,ON,Ontario,44.24694,-76.50389,5005,P,PPL
antigonish-ns,Antigonish,Antigonish,NS,Nova Scotia,45.61685,-61.99858,5003,P,PPL
breakeyville-qc,Breakeyville,Breakeyville,QC,Quebec,46.68037,-71.22327,5000,P,PPLL
grand-bay-westfield-nb,Grand Bay-Westfield,Grand Bay-Westfield,NB,New Brunswick,45.34075,-66.25275,4967,P,PPL
baden-on,Baden,Baden,ON,Ontario,43.4001,-80.6497,4940,P,PPL
mount-albert-on,Mount Albert,Mount Albert,ON,Ontario,44.13341,-79.3163,4925,P,PPL
meaford-on,Meaford,Meaford,ON,Ontario,44.60725,-80.61081,4910,P,PPL
exeter-on,Exeter,Exeter,ON,Ontario,43.34353,-81.47933,4863,P,PPL
lemoyne-qc,LeMoyne,LeMoyne,QC,Quebec,45.50008,-73.49361,4855,P,PPL
carbonear-nl,Carbonear,Carbonear,NL,Newfoundland and Labrador,47.73919,-53.2272,4838,P,PPL
saint-jean-de-matha-qc,Saint-Jean-de-Matha,Saint-Jean-de-Matha,QC,Quebec,46.23147,-73.53416,4838,P,PPL
chertsey-qc,Chertsey,Chertsey,QC,Quebec,46.07109,-73.89095,4836,P,PPL
greektown-bc,Greektown,Greektown,BC,British Columbia,49.26412,-123.1757,4836,P,PPL
humboldt-sk,Humboldt,Humboldt,SK,Saskatchewan,52.20005,-105.1255,4822,P,PPL
warwick-qc,Warwick,Warwick,QC,Quebec,45.95007,-71.9824,4766,P,PPL
humphreys-mills-nb,Humphreys Mills,Humphreys Mills,NB,New Brunswick,46.11237,-64.7589,4754,P,PPL
hearst-on,Hearst,Hearst,ON,Ontario,49.68351,-83.66654,4746,P,PPL
walkerton-on,Walkerton,Walkerton,ON,Ontario,44.13023,-81.15309,4724,P,PPL
picton-on,Picton,Picton,ON,Ontario,44.00176,-77.14637,4702,P,PPL
tilbury-on,Tilbury,Tilbury,ON,Ontario,42.26679,-82.43311,4687,P,PPL
espanola-on,Espanola,Espanola,ON,Ontario,46.25837,-81.76649,4682,P,PPL
westlock-ab,Westlock,Westlock,AB,Alberta,54.15016,-113.86876,4678,P,PPL
azilda-on,Azilda,Azilda,ON,Ontario,46.55008,-81.09975,4663,P,PPL
mississauga-beach-on,Mississauga Beach,Mississauga Beach,ON,Ontario,43.25876,-79.08625,4662,P,PPL
new-minas-ns,New Minas,New Minas,NS,Nova Scotia,45.0691,-64.46958,4662,P,PPL
rusagonis-nb,Rusagonis,Rusagonis,NB,New Brunswick,45.80276,-66.6204,4661,P,PPL
riviere-rouge-qc,Rivière-Rouge,Riviere-Rouge,QC,Quebec,46.41679,-74.86596,4645,P,PPL
greenstone-on,Greenstone,Greenstone,ON,Ontario,49.73343,-87.16668,4636,P,PPL
rockwood-on,Rockwood,Rockwood,ON,Ontario,43.61899,-80.14441,4629,P,PPL
grand-bank-nl,Grand Bank,Grand Bank,NL,Newfoundland and Labrador,47.09995,-55.76504,4623,P,PPL
whitney-pier-ns,Whitney Pier,Whitney Pier,NS,Nova Scotia,46.15931,-60.18662,4612,P,PPL
neepawa-mb,Neepawa,Neepawa,MB,Manitoba,50.22892,-99.46642,4609,P,PPL
l-epiphanie-qc,L'Épiphanie,L'Epiphanie,QC,Quebec,45.85008,-73.48246,4606,P,PPL
barrhead-ab,Barrhead,Barrhead,AB,Alberta,54.13345,-114.40211,4579,P,PPL
la-pocatiere-qc,La Pocatière,La Pocatiere,QC,Quebec,47.36733,-70.03484,4575,P,PPL
caledon-east-on,Caledon East,Caledon East,ON,Ontario,43.86913,-79.86691,4568,P,PPL
valley-waters-nb,Valley Waters,Valley Waters,NB,New Brunswick,45.67299,-65.83704,4549,P,PPL
saint-agapit-qc,Saint-Agapit,Saint-Agapit,QC,Quebec,46.55674,-71.44186,4526,P,PPL
gabriola-bc,Gabriola,Gabriola,BC,British Columbia,49.17043,-123.8499,4500,P,PPL
lac-alouette-qc,Lac-Alouette,Lac-Alouette,QC,Quebec,45.81698,-73.9592,4473,P,PPL
prescott-on,Prescott,Prescott,ON,Ontario,44.71681,-75.51604,4466,P,PPL
lanoraie-qc,Lanoraie,Lanoraie,QC,Quebec,45.96677,-73.21585,4447,P,PPL
goulds-nl,Goulds,Goulds,NL,Newfoundland and Labrador,47.45532,-52.77552,4418,P,PPL
st-stephen-nb,St. Stephen,St. Stephen,NB,New Brunswick,45.18044,-67.29529,4415,P,PPL
berthierville-qc,Berthierville,Berthierville,QC,Quebec,46.08336,-73.18245,4411,P,PPL
waterloo-qc,Waterloo,Waterloo,QC,Quebec,45.35008,-72.51582,4410,P,PPL
nipawin-sk,Nipawin,Nipawin,SK,Saskatchewan,53.36678,-104.00092,4401,P,PPL
battleford-sk,Battleford,Battleford,SK,Saskatchewan,52.73486,-108.3091,4400,P,PPL
hampton-nb,Hampton,Hampton,NB,New Brunswick,45.52876,-65.85354,4395,P,PPL
red-lake-on,Red Lake,Red Lake,ON,Ontario,51.01678,-93.82736,4366,P,PPL
vanderhoof-bc,Vanderhoof,Vanderhoof,BC,British Columbia,54.01657,-124.01982,4346,P,PPL
middle-sackville-ns,Middle Sackville,Middle Sackville,NS,Nova Scotia,44.77644,-63.69605,4329,P,PPL
deep-river-on,Deep River,Deep River,ON,Ontario,46.10012,-77.49949,4296,P,PPL
beresford-nb,Beresford,Beresford,NB,New Brunswick,47.69128,-65.69893,4294,P,PPL
caraquet-nb,Caraquet,Caraquet,NB,New Brunswick,47.79413,-64.9386,4285,P,PPL
terrasse-des-pins-qc,Terrasse-des-Pins,Terrasse-des-Pins,QC,Quebec,45.86449,-74.06627,4268,P,PPL
bowen-island-bc,Bowen Island,Bowen Island,BC,British Columbia,49.3847,-123.33622,4256,P,PPL
vallee-des-rivieres-nb,Vallée-des-Rivières,Vallee-des-Rivieres,NB,New Brunswick,47.21512,-67.96074,4250,P,PPL
kindersley-sk,Kindersley,Kindersley,SK,Saskatchewan,51.46681,-109.16818,4249,P,PPL
maniwaki-qc,Maniwaki,Maniwaki,QC,Quebec,46.38341,-75.96605,4236,P,PPL
iroquois-falls-on,Iroquois Falls,Iroquois Falls,ON,Ontario,48.76688,-80.68307,4232,P,PPL
roxton-pond-qc,Roxton Pond,Roxton Pond,QC,Quebec,45.48338,-72.66582,4224,P,PPL
altona-mb,Altona,Altona,MB,Manitoba,49.10469,-97.55961,4212,P,PPL
harrisville-nb,Harrisville,Harrisville,NB,New Brunswick,46.11771,-64.72209,4201,P,PPL
swan-river-mb,Swan River,Swan River,MB,Manitoba,52.1058,-101.26759,4198,P,PPL
wolfville-ns,Wolfville,Wolfville,NS,Nova Scotia,45.08345,-64.36546,4195,P,PPL
stonewall-mb,Stonewall,Stonewall,MB,Manitoba,50.13441,-97.32676,4177,P,PPL
new-maryland-nb,New Maryland,New Maryland,NB,New Brunswick,45.89662,-66.68225,4153,P,PPL
beeton-on,Beeton,Beeton,ON,Ontario,44.07988,-79.7816,4151,P,PPL
rossland-bc,Rossland,Rossland,BC,British Columbia,49.08313,-117.80224,4140,P,PPL
didsbury-ab,Didsbury,Didsbury,AB,Alberta,51.66681,-114.13529,4134,P,PPL
melville-sk,Melville,Melville,SK,Saskatchewan,50.91671,-102.80099,4127,P,PPL
metabetchouan-lac-a-la-croix-qc,Metabetchouan-Lac-a-la-Croix,Metabetchouan-Lac-a-la-Croix,QC,Quebec,48.41,-71.78,4084,P,PPL
vermilion-ab,Vermilion,Vermilion,AB,Alberta,53.35409,-110.85849,4084,P,PPL
niverville-mb,Niverville,Niverville,MB,Manitoba,49.60559,-97.04234,4083,P,PPL
carleton-sur-mer-qc,Carleton-sur-Mer,Carleton-sur-Mer,QC,Quebec,48.10749,-66.128,4077,P,PPL
carstairs-ab,Carstairs,Carstairs,AB,Alberta,51.56681,-114.102,4077,P,PPL
vineland-on,Vineland,Vineland,ON,Ontario,43.15132,-79.39449,4074,P,PPL
bancroft-on,Bancroft,Bancroft,ON,Ontario,45.05752,-77.85702,4065,P,PPL
richmond-on,Richmond,Richmond,ON,Ontario,45.1834,-75.83266,4055,P,PPL
grand-forks-bc,Grand Forks,Grand Forks,BC,British Columbia,49.03309,-118.4356,4049,P,PPL
golden-bc,Golden,Golden,BC,British Columbia,51.29995,-116.9689,4038,P,PPL
vercheres-qc,Verchères,Vercheres,QC,Quebec,45.78338,-73.34916,4030,P,PPL
berry-mills-heights-nb,Berry Mills Heights,Berry Mills Heights,NB,New Brunswick,46.1,-64.85,4021,P,PPL
stellarton-ns,Stellarton,Stellarton,NS,Nova Scotia,45.55854,-62.66069,4007,P,PPL
koksilah-bc,Koksilah,Koksilah,BC,British Columbia,48.76667,-123.68333,4000,P,PPL
sparwood-bc,Sparwood,Sparwood,BC,British Columbia,49.73332,-114.88532,3990,P,PPL
three-rivers-nb,Three Rivers,Three Rivers,NB,New Brunswick,45.91178,-65.15228,3990,P,PPL
callander-on,Callander,Callander,ON,Ontario,46.2168,-79.36632,3964,P,PPL
saint-augustin-qc,Saint-Augustin,Saint-Augustin,QC,Quebec,51.22602,-58.65017,3961,P,PPL
jasper-ab,Jasper,Jasper,AB,Alberta,52.87946,-118.08041,3948,P,PPL
morin-heights-qc,Morin-Heights,Morin-Heights,QC,Quebec,45.90009,-74.24922,3925,P,PPL
shawnigan-lake-bc,Shawnigan Lake,Shawnigan Lake,BC,British Columbia,48.65055,-123.64494,3908,P,PPL
jasper-park-lodge-ab,Jasper Park Lodge,Jasper Park Lodge,AB,Alberta,52.88633,-118.05625,3907,P,PPLL
sutton-qc,Sutton,Sutton,QC,Quebec,45.10008,-72.61582,3906,P,PPL
baie-d-urfe-qc,Baie-D'Urfé,Baie-D'Urfe,QC,Quebec,45.41397,-73.91586,3902,P,PPL
port-hardy-bc,Port Hardy,Port Hardy,BC,British Columbia,50.72086,-127.49231,3902,P,PPL
bois-joli-nb,Bois-Joli,Bois-Joli,NB,New Brunswick,47.99101,-66.5116,3900,P,PPL
bromont-qc,Bromont,Bromont,QC,Quebec,45.31678,-72.64912,3895,P,PPL
saint-tite-qc,Saint-Tite,Saint-Tite,QC,Quebec,46.73336,-72.56581,3880,P,PPL
windsor-ns,Windsor,Windsor,NS,Nova Scotia,44.98345,-64.13204,3864,P,PPL
barrington-ns,Barrington,Barrington,NS,Nova Scotia,43.56285,-65.56173,3856,P,PPL
pincher-creek-ab,Pincher Creek,Pincher Creek,AB,Alberta,49.48328,-113.95195,3855,P,PPL
montreal-est-qc,Montréal-Est,Montreal-Est,QC,Quebec,45.63202,-73.5075,3850,P,PPL
lantzville-bc,Lantzville,Lantzville,BC,British Columbia,49.2454,-124.07547,3817,P,PPL
l-islet-sur-mer-qc,L'Islet-sur-Mer,L'Islet-sur-Mer,QC,Quebec,47.12868,-70.3707,3803,P,PPL
claresholm-ab,Claresholm,Claresholm,AB,Alberta,50.03332,-113.58524,3780,P,PPL
nackawic-millville-nb,Nackawic-Millville,Nackawic-Millville,NB,New Brunswick,46.07831,-67.23335,3765,P,PPL
cumberland-bc,Cumberland,Cumberland,BC,British Columbia,49.61634,-125.03613,3753,P,PPL
new-richmond-qc,New-Richmond,New-Richmond,QC,Quebec,48.16059,-65.85823,3748,P,PPL
haut-madawaska-nb,Haut-Madawaska,Haut-Madawaska,NB,New Brunswick,47.26057,-68.63689,3720,P,PPL
porters-lake-ns,Porters Lake,Porters Lake,NS,Nova Scotia,44.73768,-63.31307,3716,P,PPL
malartic-qc,Malartic,Malartic,QC,Quebec,48.13633,-78.12533,3710,P,PPL
raymond-ab,Raymond,Raymond,AB,Alberta,49.46382,-112.66024,3708,P,PPL
saint-adolphe-d-howard-qc,Saint-Adolphe-d'Howard,Saint-Adolphe-d'Howard,QC,Quebec,45.96679,-74.33253,3702,P,PPL
arcadia-nb,Arcadia,Arcadia,NB,New Brunswick,45.8081,-66.06383,3700,P,PPL
calvin-park-on,Calvin Park,Calvin Park,ON,Ontario,44.23282,-76.52405,3685,P,PPL
black-diamond-ab,Black Diamond,Black Diamond,AB,Alberta,50.68771,-114.23241,3663,P,PPL
neuville-qc,Neuville,Neuville,QC,Quebec,46.69823,-71.58275,3638,P,PPL
east-angus-qc,East Angus,East Angus,QC,Quebec,45.48338,-71.66577,3634,P,PPL
l-ange-gardien-qc,L'Ange-Gardien,L'Ange-Gardien,QC,Quebec,46.91976,-71.08253,3634,P,PPL
westville-ns,Westville,Westville,NS,Nova Scotia,45.56685,-62.71534,3628,P,PPL
pasadena-nl,Pasadena,Pasadena,NL,Newfoundland and Labrador,49.01671,-57.59837,3620,P,PPL
rigaud-qc,Rigaud,Rigaud,QC,Quebec,45.47927,-74.30238,3613,P,PPL
contrecoeur-qc,Contrecoeur,Contrecoeur,QC,Quebec,45.85008,-73.23245,3587,P,PPL
cardston-ab,Cardston,Cardston,AB,Alberta,49.19998,-113.3019,3585,P,PPL
bobcaygeon-on,Bobcaygeon,Bobcaygeon,ON,Ontario,44.5462,-78.54203,3576,P,PPL
alnwick-nb,Alnwick,Alnwick,NB,New Brunswick,47.21568,-65.18062,3575,P,PPL
chateau-richer-qc,Château-Richer,Chateau-Richer,QC,Quebec,46.96031,-71.03219,3563,P,PPL
saint-andre-avellin-qc,Saint-André-Avellin,Saint-Andre-Avellin,QC,Quebec,45.7168,-75.06599,3562,P,PPL
channel-port-aux-basques-nl,Channel-Port aux Basques,Channel-Port aux Basques,NL,Newfoundland and Labrador,47.57286,-59.13808,3547,P,PPL
new-edinburgh-on,New Edinburgh,New Edinburgh,ON,Ontario,45.44139,-75.68778,3539,P,PPL
riviere-du-nord-nb,Rivière-du-Nord,Riviere-du-Nord,NB,New Brunswick,47.72309,-65.1839,3530,P,PPL
hay-river-nt,Hay River,Hay River,NT,Northwest Territories,60.81555,-115.79993,3528,P,PPL
sainte-claire-qc,Sainte-Claire,Sainte-Claire,QC,Quebec,46.60134,-70.86319,3526,P,PPL
eskasoni-3-ns,Eskasoni 3,Eskasoni 3,NS,Nova Scotia,45.94522,-60.61617,3521,P,PPL
mount-uniacke-ns,Mount Uniacke,Mount Uniacke,NS,Nova Scotia,44.90015,-63.83202,3501,P,PPL
aldergrove-east-bc,Aldergrove East,Aldergrove East,BC,British Columbia,49.05614,-122.45457,3491,P,PPL
fruitvale-bc,Fruitvale,Fruitvale,BC,British Columbia,49.11654,-117.55222,3491,P,PPL
saint-pascal-qc,Saint-Pascal,Saint-Pascal,QC,Quebec,47.51813,-69.80301,3490,P,PPL
saint-germain-de-grantham-qc,Saint-Germain-de-Grantham,Saint-Germain-de-Grantham,QC,Quebec,45.83337,-72.56582,3485,P,PPL
clarenville-shoal-harbour-nl,Clarenville-Shoal Harbour,Clarenville-Shoal Harbour,NL,Newfoundland and Labrador,48.1805,-53.96982,3478,P,PPL
dunham-qc,Dunham,Dunham,QC,Quebec,45.13338,-72.79913,3471,P,PPL
kingston-ns,Kingston,Kingston,NS,Nova Scotia,44.99185,-64.94092,3466,P,PPL
havre-saint-pierre-qc,Havre-Saint-Pierre,Havre-Saint-Pierre,QC,Quebec,50.24342,-63.60264,3460,P,PPL
bonavista-nl,Bonavista,Bonavista,NL,Newfoundland and Labrador,48.64989,-53.11474,3448,P,PPL
blind-river-on,Blind River,Blind River,ON,Ontario,46.18336,-82.95817,3422,P,PPL
lawrencetown-ns,Lawrencetown,Lawrencetown,NS,Nova Scotia,44.6596,-63.36732,3402,P,PPL
five-rivers-nb,Five Rivers,Five Rivers,NB,New Brunswick,46.55684,-64.90456,3400,P,PPL
invermere-bc,Invermere,Invermere,BC,British Columbia,50.51666,-116.03538,3391,P,PPL
grande-riviere-qc,Grande-Riviere,Grande-Riviere,QC,Quebec,48.40026,-64.50108,3384,P,PPL
stillwater-lake-ns,Stillwater Lake,Stillwater Lake,NS,Nova Scotia,44.69895,-63.83524,3379,P,PPL
campbellford-on,Campbellford,Campbellford,ON,Ontario,44.30842,-77.79949,3372,P,PPL
sainte-marguerite-du-lac-masson-qc,Sainte-Marguerite-du-Lac-Masson,Sainte-Marguerite-du-Lac-Masson,QC,Quebec,46.03338,-74.0659,3367,P,PPL
beaverton-on,Beaverton,Beaverton,ON,Ontario,44.43342,-79.1496,3347,P,PPL
yarrow-bc,Yarrow,Yarrow,BC,British Columbia,49.08207,-122.05034,3326,P,PPL
kashechewan-on,Kashechewan,Kashechewan,ON,Ontario,52.29126,-81.64026,3309,P,PPLL
st-jean-port-joli-qc,St-Jean-Port-Joli,St-Jean-Port-Joli,QC,Quebec,47.21418,-70.26969,3304,P,PPL
magnetic-hill-nb,Magnetic Hill,Magnetic Hill,NB,New Brunswick,46.13466,-64.88852,3300,P,PPL
atholville-nb,Atholville,Atholville,NB,New Brunswick,47.9894,-66.7125,3290,P,PPL
lebel-sur-quevillon-qc,Lebel-sur-Quévillon,Lebel-sur-Quevillon,QC,Quebec,49.05018,-76.98273,3289,P,PPL
placentia-nl,Placentia,Placentia,NL,Newfoundland and Labrador,47.2332,-53.96483,3289,P,PPL
lewisporte-nl,Lewisporte,Lewisporte,NL,Newfoundland and Labrador,49.24343,-55.06196,3288,P,PPL
penhold-ab,Penhold,Penhold,AB,Alberta,52.13342,-113.8687,3277,P,PPL
grande-cache-ab,Grande Cache,Grande Cache,AB,Alberta,53.88335,-119.13585,3276,P,PPL
sainte-julienne-qc,Sainte-Julienne,Sainte-Julienne,QC,Quebec,45.96677,-73.71587,3263,P,PPL
mackenzie-bc,Mackenzie,Mackenzie,BC,British Columbia,55.33637,-123.09374,3262,P,PPL
capreol-on,Capreol,Capreol,ON,Ontario,46.70626,-80.92109,3260,P,PPL
st-george-on,St. George,St. George,ON,Ontario,43.24495,-80.25144,3255,P,PPL
sydenham-on,Sydenham,Sydenham,ON,Ontario,44.56679,-80.79972,3249,P,PPL
amethyst-harbour-on,Amethyst Harbour,Amethyst Harbour,ON,Ontario,48.54267,-88.87291,3247,P,PPL
haileybury-on,Haileybury,Haileybury,ON,Ontario,47.44904,-79.63732,3247,P,PPL
shuniah-township-on,Shuniah Township,Shuniah Township,ON,Ontario,48.5242,-89.1147,3247,P,PPL
wellesley-on,Wellesley,Wellesley,ON,Ontario,43.47691,-80.76209,3246,P,PPL
inuvik-nt,Inuvik,Inuvik,NT,Northwest Territories,68.36166,-133.72817,3243,P,PPL
richmond-qc,Richmond,Richmond,QC,Quebec,45.66677,-72.1491,3232,P,PPL
lake-cowichan-bc,Lake Cowichan,Lake Cowichan,BC,British Columbia,48.82495,-124.05461,3226,P,PPL
ballantrae-on,Ballantrae,Ballantrae,ON,Ontario,44.03342,-79.2996,3223,P,PPL
dalhousie-nb,Dalhousie,Dalhousie,NB,New Brunswick,48.06442,-66.37495,3223,P,PPL
preston-ns,Preston,Preston,NS,Nova Scotia,44.71569,-63.43423,3223,P,PPL
kearney-lake-ns,Kearney Lake,Kearney Lake,NS,Nova Scotia,44.68695,-63.68498,3220,P,PPL
headingley-mb,Headingley,Headingley,MB,Manitoba,49.8753,-97.40896,3215,P,PPL
bradner-bc,Bradner,Bradner,BC,British Columbia,49.1,-122.41667,3213,P,PPL
port-hawkesbury-ns,Port Hawkesbury,Port Hawkesbury,NS,Nova Scotia,45.61652,-61.35636,3210,P,PPL
lorette-mb,Lorette,Lorette,MB,Manitoba,49.73919,-96.87232,3208,P,PPL
cabano-qc,Cabano,Cabano,QC,Quebec,47.68065,-68.8781,3199,P,PPL
saint-thomas-qc,Saint-Thomas,Saint-Thomas,QC,Quebec,46.01677,-73.34915,3193,P,PPL
tracadie-sheila-nb,Tracadie-Sheila,Tracadie-Sheila,NB,New Brunswick,47.51444,-64.91806,3184,P,PPL
high-level-ab,High Level,High Level,AB,Alberta,58.51688,-117.13605,3159,P,PPL
hanna-ab,Hanna,Hanna,AB,Alberta,51.63343,-111.90181,3140,P,PPL
strathcona-park-on,Strathcona Park,Strathcona Park,ON,Ontario,44.25528,-76.52444,3135,P,PPL
waterford-on,Waterford,Waterford,ON,Ontario,42.9334,-80.28296,3132,P,PPL
beausejour-mb,Beausejour,Beausejour,MB,Manitoba,50.0622,-96.51669,3126,P,PPL
napierville-qc,Napierville,Napierville,QC,Quebec,45.18648,-73.40468,3124,P,PPL
trois-pistoles-qc,Trois Pistoles,Trois Pistoles,QC,Quebec,48.11667,-69.16667,3115,P,PPL
virden-mb,Virden,Virden,MB,Manitoba,49.8508,-100.93262,3114,P,PPL
clinton-on,Clinton,Clinton,ON,Ontario,43.61679,-81.53307,3113,P,PPL
pictou-ns,Pictou,Pictou,NS,Nova Scotia,45.67875,-62.70936,3107,P,PPL
portneuf-qc,Portneuf,Portneuf,QC,Quebec,46.69058,-71.89011,3107,P,PPL
white-city-sk,White City,White City,SK,Saskatchewan,50.43338,-104.36778,3099,P,PPL
perce-qc,Perce,Perce,QC,Quebec,48.48794,-64.29852,3095,P,PPL
ellison-bc,Ellison,Ellison,BC,British Columbia,49.93307,-119.36907,3094,P,PPL
mont-saint-gregoire-qc,Mont-Saint-Grégoire,Mont-Saint-Gregoire,QC,Quebec,45.33338,-73.16585,3086,P,PPL
forest-hills-nb,Forest Hills,Forest Hills,NB,New Brunswick,45.31242,-66.0122,3084,P,PPL
bishop-s-falls-nl,Bishop's Falls,Bishop's Falls,NL,Newfoundland and Labrador,49.01664,-55.4815,3082,P,PPL
indiantown-nb,Indiantown,Indiantown,NB,New Brunswick,45.27515,-66.07847,3078,P,PPL
casselman-on,Casselman,Casselman,ON,Ontario,45.3168,-75.0826,3074,P,PPL
byward-market-on,ByWard Market,ByWard Market,ON,Ontario,45.4271,-75.69234,3063,P,PPLL
fort-macleod-ab,Fort Macleod,Fort Macleod,AB,Alberta,49.71671,-113.41857,3060,P,PPL
nouvelle-arcadie-nb,Nouvelle-Arcadie,Nouvelle-Arcadie,NB,New Brunswick,46.69807,-65.36133,3060,P,PPL
three-hills-ab,Three Hills,Three Hills,AB,Alberta,51.70012,-113.26863,3051,P,PPL
madeira-park-bc,Madeira Park,Madeira Park,BC,British Columbia,49.61967,-124.02319,3039,P,PPL
grand-bend-on,Grand Bend,Grand Bend,ON,Ontario,43.31678,-81.74978,3031,P,PPL
carman-mb,Carman,Carman,MB,Manitoba,49.4992,-98.00156,3027,P,PPL
chemainus-bc,Chemainus,Chemainus,BC,British Columbia,48.91633,-123.71937,3021,P,PPL
morrisburg-on,Morrisburg,Morrisburg,ON,Ontario,44.9001,-75.18261,3014,P,PPL
polson-park-on,Polson Park,Polson Park,ON,Ontario,44.23222,-76.53028,3005,P,PPL
ridgetown-on,Ridgetown,Ridgetown,ON,Ontario,42.43536,-81.88733,3002,P,PPL
westmount-ns,Westmount,Westmount,NS,Nova Scotia,46.13548,-60.21924,3000,P,PPL
fairview-ab,Fairview,Fairview,AB,Alberta,56.06675,-118.38606,2998,P,PPL
houston-bc,Houston,Houston,BC,British Columbia,54.39976,-126.67008,2993,P,PPL
rankin-inlet-nu,Rankin Inlet,Rankin Inlet,NU,Nunavut,62.80906,-92.08534,2975,P,PPLL
fermont-qc,Fermont,Fermont,QC,Quebec,52.79445,-67.08378,2966,P,PPL
athabasca-ab,Athabasca,Athabasca,AB,Alberta,54.71687,-113.28537,2965,P,PPL
enderby-bc,Enderby,Enderby,BC,British Columbia,50.5498,-119.15234,2964,P,PPL
sackville-nb,Sackville,Sackville,NB,New Brunswick,45.89868,-64.36836,2963,P,PPL
tavistock-on,Tavistock,Tavistock,ON,Ontario,43.31679,-80.83302,2955,P,PPL
virgil-on,Virgil,Virgil,ON,Ontario,43.21682,-79.13288,2937,P,PPL
wingham-on,Wingham,Wingham,ON,Ontario,43.88793,-81.31145,2934,P,PPL
fort-coulonge-qc,Fort-Coulonge,Fort-Coulonge,QC,Quebec,45.842,-76.739,2911,P,PPL
la-crete-ab,La Crête,La Crete,AB,Alberta,58.18348,-116.40268,2911,P,PPL
alexandria-on,Alexandria,Alexandria,ON,Ontario,45.31317,-74.63665,2906,P,PPL
wawa-on,Wawa,Wawa,ON,Ontario,47.98877,-84.77411,2905,P,PPL
saint-gabriel-qc,Saint-Gabriel,Saint-Gabriel,QC,Quebec,46.30007,-73.38245,2901,P,PPL
ste-anne-mb,Ste. Anne,Ste. Anne,MB,Manitoba,49.66969,-96.65,2891,P,PPL
degelis-qc,Dégelis,Degelis,QC,Quebec,47.54734,-68.64309,2884,P,PPL
high-prairie-ab,High Prairie,High Prairie,AB,Alberta,55.4334,-116.4858,2878,P,PPL
mistissini-qc,Mistissini,Mistissini,QC,Quebec,50.41832,-73.86895,2869,P,PPL
huntingdon-qc,Huntingdon,Huntingdon,QC,Quebec,45.08339,-74.16593,2865,P,PPL
arviat-nu,Arviat,Arviat,NU,Nunavut,61.10883,-94.05848,2864,P,PPLL
tisdale-sk,Tisdale,Tisdale,SK,Saskatchewan,52.85002,-104.05096,2862,P,PPL
stanstead-qc,Stanstead,Stanstead,QC,Quebec,45.01455,-72.09131,2857,P,PPL
kingsclear-nb,Kingsclear,Kingsclear,NB,New Brunswick,45.88437,-66.90853,2839,P,PPL
cedar-bc,Cedar,Cedar,BC,British Columbia,49.11633,-123.8527,2836,P,PPL
princeton-bc,Princeton,Princeton,BC,British Columbia,49.45802,-120.51076,2828,P,PPL
beaupre-qc,Beaupré,Beaupre,QC,Quebec,47.04428,-70.89529,2803,P,PPL
dundalk-on,Dundalk,Dundalk,ON,Ontario,44.16792,-80.39357,2803,P,PPL
halfmoon-bay-bc,Halfmoon Bay,Halfmoon Bay,BC,British Columbia,49.51289,-123.9087,2800,P,PPL
clairmont-ab,Clairmont,Clairmont,AB,Alberta,55.26668,-118.78601,2799,P,PPL
cowichan-bay-bc,Cowichan Bay,Cowichan Bay,BC,British Columbia,48.73366,-123.61739,2799,P,PPL
harbour-grace-nl,Harbour Grace,Harbour Grace,NL,Newfoundland and Labrador,47.68647,-53.23257,2796,P,PPL
gibbons-ab,Gibbons,Gibbons,AB,Alberta,53.83345,-113.33531,2790,P,PPL
herring-cove-ns,Herring Cove,Herring Cove,NS,Nova Scotia,44.5703,-63.56822,2790,P,PPL
botwood-nl,Botwood,Botwood,NL,Newfoundland and Labrador,49.14994,-55.34819,2778,P,PPL
val-morin-qc,Val-Morin,Val-Morin,QC,Quebec,46.00008,-74.18251,2772,P,PPL
pohenegamook-qc,Pohénégamook,Pohenegamook,QC,Quebec,47.46315,-69.22666,2770,P,PPL
cocagne-nb,Cocagne,Cocagne,NB,New Brunswick,46.33494,-64.61504,2757,P,PPL
atikokan-on,Atikokan,Atikokan,ON,Ontario,48.75667,-91.62409,2753,P,PPL
lakefield-on,Lakefield,Lakefield,ON,Ontario,44.43342,-78.26623,2753,P,PPL
springhill-ns,Springhill,Springhill,NS,Nova Scotia,45.65015,-64.04873,2743,P,PPL
tobique-valley-nb,Tobique Valley,Tobique Valley,NB,New Brunswick,46.93494,-67.39112,2740,P,PPL
elsipogtog-first-nation-nb,Elsipogtog First Nation,Elsipogtog First Nation,NB,New Brunswick,46.58544,-64.98583,2736,P,PPL
macamic-qc,Macamic,Macamic,QC,Quebec,48.75018,-78.99962,2734,P,PPL
normandin-qc,Normandin,Normandin,QC,Quebec,48.83328,-72.53209,2728,P,PPL
