slug,name,ascii_name,province,province_name,latitude,longitude,population,feature_class,feature_code
kapuskasing-on,Kapuskasing,Kapuskasing,ON,Ontario,49.41694,-82.43308,8292,P,PPL
concord-on,Concord,Concord,ON,Ontario,43.80011,-79.48291,8255,P,PPL
essex-on,Essex,Essex,ON,Ontario,42.17509,-82.82483,8233,P,PPL
boischatel-qc,Boischatel,Boischatel,QC,Quebec,46.89434,-71.1448,8231,P,PPL
notre-dame-des-prairies-qc,Notre-Dame-des-Prairies,Notre-Dame-des-Prairies,QC,Quebec,46.05007,-73.43245,8230,P,PPL
renfrew-on,Renfrew,Renfrew,ON,Ontario,45.46681,-76.68272,8223,P,PPL
coaldale-ab,Coaldale,Coaldale,AB,Alberta,49.7167,-112.61854,8215,P,PPL
dryden-on,Dryden,Dryden,ON,Ontario,49.78334,-92.75032,8195,P,PPL
humphrey-nb,Humphrey,Humphrey,NB,New Brunswick,46.11987,-64.77797,8195,P,PPL
blackburn-hamlet-on,Blackburn Hamlet,Blackburn Hamlet,ON,Ontario,45.43671,-75.56462,8173,P,PPL
taber-ab,Taber,Taber,AB,Alberta,49.78703,-112.14603,8163,P,PPL
shelburne-on,Shelburne,Shelburne,ON,Ontario,44.0787,-80.20408,8126,P,PPL
saint-hippolyte-qc,Saint-Hippolyte,Saint-Hippolyte,QC,Quebec,45.93338,-74.0159,8083,P,PPL
chelsea-qc,Chelsea,Chelsea,QC,Quebec,45.5001,-75.78265,8000,P,PPL
edson-ab,Edson,Edson,AB,Alberta,53.58345,-116.43559,7975,P,PPL
saint-apollinaire-qc,Saint-Apollinaire,Saint-Apollinaire,QC,Quebec,46.61289,-71.51258,7968,P,PPL
kahnawake-qc,Kahnawake,Kahnawake,QC,Quebec,45.41076,-73.68139,7965,P,PPL
amherstview-on,Amherstview,Amherstview,ON,Ontario,44.22327,-76.64538,7959,P,PPL
trail-bc,Trail,Trail,BC,British Columbia,49.09983,-117.70223,7920,P,PPL
chandler-qc,Chandler,Chandler,QC,Quebec,48.34935,-64.67926,7914,P,PPL
three-rivers-pe,Three Rivers,Three Rivers,PE,Prince Edward Island,46.1845,-62.5679,7883,P,PPL
port-elgin-on,Port Elgin,Port Elgin,ON,Ontario,44.43605,-81.38981,7862,P,PPL
torbay-nl,Torbay,Torbay,NL,Newfoundland and Labrador,47.66659,-52.73135,7852,P,PPL
saint-sauveur-des-monts-qc,Saint-Sauveur-des-Monts,Saint-Sauveur-des-Monts,QC,Quebec,45.90008,-74.16591,7849,P,PPL
hintonburg-on,Hintonburg,Hintonburg,ON,Ontario,45.40379,-75.7283,7844,P,PPL
elora-on,Elora,Elora,ON,Ontario,43.6834,-80.43299,7800,P,PPL
kirkland-lake-on,Kirkland Lake,Kirkland Lake,ON,Ontario,48.14461,-80.03767,7775,P,PPL
fort-frances-on,Fort Frances,Fort Frances,ON,Ontario,48.61667,-93.4003,7739,P,PPL
la-sarre-qc,La Sarre,La Sarre,QC,Quebec,48.80019,-79.19964,7719,P,PPL
centennial-place-nb,Centennial Place,Centennial Place,NB,New Brunswick,46.08333,-64.81667,7698,P,PPL
hanover-on,Hanover,Hanover,ON,Ontario,44.15009,-81.03303,7688,P,PPL
innisfail-ab,Innisfail,Innisfail,AB,Alberta,52.02688,-113.95071,7672,P,PPL
acton-vale-qc,Acton Vale,Acton Vale,QC,Quebec,45.65007,-72.56582,7656,P,PPL
goderich-on,Goderich,Goderich,ON,Ontario,43.74171,-81.71339,7628,P,PPL
saint-philippe-qc,Saint-Philippe,Saint-Philippe,QC,Quebec,45.37597,-73.48111,7597,P,PPL
brentwood-bay-bc,Brentwood Bay,Brentwood Bay,BC,British Columbia,48.58294,-123.45262,7581,P,PPL
